,BenchmarkR,,,"Benchmar
kV",,Controller,,,Gaze,,,Head,,,Body,,,Face,
"Difficult
y",Easy,Hard,,Control,,Easy,Hard,,Easy,Hard,,Easy,Hard,,Easy,Hard,,Easy,Hard
nce,,,,,,,,,,,,,,,,,,,
𝐵,"61.15
(±8.9
5)","38.93
(±6.58
)",,/,,"17.77
(±6.34)","11.97
(±6.33
)",,"31.98
(±8.56)","12.30
(±4.6
4)",,"38.57
(±8.06
)","20.12
(±6.12
)",,"36.88
(±7.2
2)","18.17
(±6.4
9)",,"35.20
(±8.1
4)","17.45
(±5.5
6)"
Gaze,,,,,,,,,,,,,,,,,,,
𝑁𝑜𝐺,/,/,,/,,"11.73
(±11.69
)","15.97
(±5.96
)",,"2.47
(±5.31)","17.70
(±7.0
8)",,"3.73
(±7.08
)","30.00
(±7.48
)",,"4.17
(±8.6
9)","26.67
(±7.7
5)",,"3.57
(±3.7
2)","29.53
(±7.6
2)"
𝑇𝑜𝐺 (s),/,/,,/,,"12.44
(±13.59
)","30.88
(±10.7
4)",,"3.23
(±7.09)","26.72
(±10.
39)",,"4.74
(±13.3
0)","43.97
(±15.8
8)",,"4.19
(±12.
78)","40.45
(±16.
95)",,"2.51
(±2.8
7)","39.56
(±14.
83)"
Δ𝐻𝑅,"8.30
(±6.8
2)","8.63
(±5.92
)",,"0.40
(±4.79)",,"1.10
(±4.43)","3.27
(±4.59
)",,"4.83
(±7.00)","1.73
(±3.6
7)",,"6.57
(±7.82
)","5.10
(±4.96
)",,"6.93
(±6.8
0)","5.77
(±5.1
4)",,"6.10
(±6.9
8)","3.93
(±4.0
9)"
"NASA-T
LX",,,,,,,,,,,,,,,,,,,
"Mental
demand","8.33
(±14.
35)","33.33
(±23.9
7)",,"31.67
(±21.60)",,"47.22
(±24.79
)","63.89
(±
23.60)",,"50.00
(±
28.03)","69.44
(±
22.78
)",,"35.00
(±
19.25)","53.33
(±
27.82)",,"35.56
(±
23.05
)","57.78
(±
24.66
)",,"37.22
(±23.
03)","57.22
(±24.
24)"
"Physical
demand","31.11
(±25.
42)","29.44
(±22.1
8)",,"26.67
(±24.60)",,"41.11
(±23.46
)","45.00
(±24.4
3)",,"38.89
(±27.8
0)","45.56
(±25.
50)",,"47.78
(±26.1
6)","51.11
(±28.6
8)",,"52.78
(±23.
19)","59.44
(±26.
51)",,"36.67
(±26.
77)","44.44
(±27.
45)"
"Temporal
demand","42.22
(±29.
27)","44.44
(±29.4
7)",,"24.44
(±24.66)",,"65.56
(±20.50
)","67.78
(±23.1
3)",,"48.33
(±24.5
1)","65.00
(±26.
02)",,"34.44
(±25.5
0)","51.67
(±26.7
5)",,"41.67
(±28.
28)","60.00
(±28.
57)",,"36.67
(±23.
33)","53.33
(±24.
53)"
"Performa
nce","24.44
(±14.
34)","42.22
(±21.7
7)",,"32.78
(±24.56)",,"52.78
(±19.12
)","58.89
(±18.4
3)",,"45.56
(±17.4
7)","65.56
(±23.
54)",,"31.11
(±18.9
4)","52.78
(±20.5
7)",,"32.78
(±18.
30)","53.89
(±17.
33)",,"39.44
(±20.
29)","56.11
(±18.
82)"
Effort,"53.89
(±28.
93)","59.44
(±23.0
3)",,"51.11
(±23.54)",,"69.44
(±21.03
)","72.22
(±20.6
8)",,"66.67
(±21.4
4)","73.33
(±21.
71)",,"58.89
(±25.0
4)","66.67
(±23.1
6)",,"59.44
(±23.
44)","70.00
(±23.
33)",,"60.00
(±26.
48)","70.00
(±21.
62)"
"Frustrati
on","5.56
(±10.
11)","15.56
(±19.0
4)",,"23.89
(±22.18)",,"34.44
(±25.50
)","40.00
(±22.9
9)",,"28.89
(±20.0
3)","42.22
(±27.
24)",,"9.44
(±11.3
2)","26.11
(±17.3
3)",,"15.56
(±16.
91)","35.56
(±23.
46)",,"21.11
(±22.
29)","38.33
(±22.
38)"
"Weighted
rating","27.5
9
(±13.
92)","37.41
(±15.3
8)",,"31.76
(±14.71)",,"51.76
(±15.17
)","57.96
(±15.3
5)",,"46.39
(±16.3
5)","60.19
(±16.
50)",,"36.11
(±12.3
6)","50.28
(±16.3
5)",,"39.63
(±14.
26)","56.11
(±17.
56)",,"38.52
(±15.
78)","53.24
(±15.
98)"
SSQ,,,,,,,,,,,,,,,,,,,
ΔNausea,"-0.32
(±1.7
4)","1.59
(±5.65
)",,"6.04
(±19.64)",,"1.91
(±8.08)","0.32
(±3.95
)",,"1.27
(±4.14)","0.00
(±0.0
0)",,"2.23
(±7.38
)","1.91
(±4.62
)",,"3.18
(±7.6
5)","1.59
(±4.4
0)",,"0.00
(±0.0
0)","0.00
(±0.0
0)"
"ΔOculom
otor","0.25
(±4.2
1)","4.80
(±7.31
)",,"5.56
(±17.00)",,"1.52
(±8.30)","1.26
(±5.30
)",,"6.82
(±12.0
0)","6.57
(±10.
48)",,"1.52
(±5.42
)","0.76
(±7.00
)",,"1.52
(±4.1
8)","2.78
(±5.8
0)",,"3.28
(±6.5
1)","2.27
(±5.3
2)"
"ΔDisorie
ntation","3.71
(±9.6
3)","10.21
(±15.4
8)",,"30.16
(±44.33)",,"6.50
(±14.50
)","6.96
(±10.1
8)",,"12.53
(±19.8
0)","7.42
(±17.
04)",,"10.67
(±16.6
3)","4.18
(±12.7
4)",,"10.21
(±13.
65)","13.92
(±20.
68)",,"4.64
(±8.4
4)","4.18
(±12.
21)"
ΔTotal,"1.00
(±4.3
9)","5.73
(±6.86
)",,"13.21
(±27.30)",,"3.24
(±10.29
)","2.62
(±5.48
)",,"7.23
(±11.07
)","5.24
(±9.4
0)",,"4.49
(±8.12
)","2.24
(±6.99
)",,"4.74
(±7.0
1)","5.73
(±7.5
3)",,"2.87
(±4.2
5)","2.24
(±4.5
6)"
ΔTotal,2.55,1.60,,1.10,,1.90,1.47,,1.57,1.03,,2.60,2.57,,2.70,2.50,,1.57,1.83
