PDF表格内容:
====================================================================================================
行 1: ['', 'BenchmarkR', '', '', 'Benchmar\nkV', '', 'Controller', '', '', 'Gaze', '', '', 'Head', '', '', 'Body', '', '', 'Face', '']
行 2: ['Difficult\ny', 'Easy', 'Hard', '', 'Control', '', 'Easy', 'Hard', '', 'Easy', 'Hard', '', 'Easy', 'Hard', '', 'Easy', 'Hard', '', 'Easy', 'Hard']
行 3: ['nce', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
行 4: ['𝐵', '61.15\n(±8.9\n5)', '38.93\n(±6.58\n)', '', '/', '', '17.77\n(±6.34)', '11.97\n(±6.33\n)', '', '31.98\n(±8.56)', '12.30\n(±4.6\n4)', '', '38.57\n(±8.06\n)', '20.12\n(±6.12\n)', '', '36.88\n(±7.2\n2)', '18.17\n(±6.4\n9)', '', '35.20\n(±8.1\n4)', '17.45\n(±5.5\n6)']
行 5: ['Gaze', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
行 6: ['𝑁𝑜𝐺', '/', '/', '', '/', '', '11.73\n(±11.69\n)', '15.97\n(±5.96\n)', '', '2.47\n(±5.31)', '17.70\n(±7.0\n8)', '', '3.73\n(±7.08\n)', '30.00\n(±7.48\n)', '', '4.17\n(±8.6\n9)', '26.67\n(±7.7\n5)', '', '3.57\n(±3.7\n2)', '29.53\n(±7.6\n2)']
行 7: ['𝑇𝑜𝐺 (s)', '/', '/', '', '/', '', '12.44\n(±13.59\n)', '30.88\n(±10.7\n4)', '', '3.23\n(±7.09)', '26.72\n(±10.\n39)', '', '4.74\n(±13.3\n0)', '43.97\n(±15.8\n8)', '', '4.19\n(±12.\n78)', '40.45\n(±16.\n95)', '', '2.51\n(±2.8\n7)', '39.56\n(±14.\n83)']
行 8: ['Δ𝐻𝑅', '8.30\n(±6.8\n2)', '8.63\n(±5.92\n)', '', '0.40\n(±4.79)', '', '1.10\n(±4.43)', '3.27\n(±4.59\n)', '', '4.83\n(±7.00)', '1.73\n(±3.6\n7)', '', '6.57\n(±7.82\n)', '5.10\n(±4.96\n)', '', '6.93\n(±6.8\n0)', '5.77\n(±5.1\n4)', '', '6.10\n(±6.9\n8)', '3.93\n(±4.0\n9)']
行 9: ['NASA-T\nLX', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
行 10: ['Mental\ndemand', '8.33\n(±14.\n35)', '33.33\n(±23.9\n7)', '', '31.67\n(±21.60)', '', '47.22\n(±24.79\n)', '63.89\n(±\n23.60)', '', '50.00\n(±\n28.03)', '69.44\n(±\n22.78\n)', '', '35.00\n(±\n19.25)', '53.33\n(±\n27.82)', '', '35.56\n(±\n23.05\n)', '57.78\n(±\n24.66\n)', '', '37.22\n(±23.\n03)', '57.22\n(±24.\n24)']
行 11: ['Physical\ndemand', '31.11\n(±25.\n42)', '29.44\n(±22.1\n8)', '', '26.67\n(±24.60)', '', '41.11\n(±23.46\n)', '45.00\n(±24.4\n3)', '', '38.89\n(±27.8\n0)', '45.56\n(±25.\n50)', '', '47.78\n(±26.1\n6)', '51.11\n(±28.6\n8)', '', '52.78\n(±23.\n19)', '59.44\n(±26.\n51)', '', '36.67\n(±26.\n77)', '44.44\n(±27.\n45)']
行 12: ['Temporal\ndemand', '42.22\n(±29.\n27)', '44.44\n(±29.4\n7)', '', '24.44\n(±24.66)', '', '65.56\n(±20.50\n)', '67.78\n(±23.1\n3)', '', '48.33\n(±24.5\n1)', '65.00\n(±26.\n02)', '', '34.44\n(±25.5\n0)', '51.67\n(±26.7\n5)', '', '41.67\n(±28.\n28)', '60.00\n(±28.\n57)', '', '36.67\n(±23.\n33)', '53.33\n(±24.\n53)']
行 13: ['Performa\nnce', '24.44\n(±14.\n34)', '42.22\n(±21.7\n7)', '', '32.78\n(±24.56)', '', '52.78\n(±19.12\n)', '58.89\n(±18.4\n3)', '', '45.56\n(±17.4\n7)', '65.56\n(±23.\n54)', '', '31.11\n(±18.9\n4)', '52.78\n(±20.5\n7)', '', '32.78\n(±18.\n30)', '53.89\n(±17.\n33)', '', '39.44\n(±20.\n29)', '56.11\n(±18.\n82)']
行 14: ['Effort', '53.89\n(±28.\n93)', '59.44\n(±23.0\n3)', '', '51.11\n(±23.54)', '', '69.44\n(±21.03\n)', '72.22\n(±20.6\n8)', '', '66.67\n(±21.4\n4)', '73.33\n(±21.\n71)', '', '58.89\n(±25.0\n4)', '66.67\n(±23.1\n6)', '', '59.44\n(±23.\n44)', '70.00\n(±23.\n33)', '', '60.00\n(±26.\n48)', '70.00\n(±21.\n62)']
行 15: ['Frustrati\non', '5.56\n(±10.\n11)', '15.56\n(±19.0\n4)', '', '23.89\n(±22.18)', '', '34.44\n(±25.50\n)', '40.00\n(±22.9\n9)', '', '28.89\n(±20.0\n3)', '42.22\n(±27.\n24)', '', '9.44\n(±11.3\n2)', '26.11\n(±17.3\n3)', '', '15.56\n(±16.\n91)', '35.56\n(±23.\n46)', '', '21.11\n(±22.\n29)', '38.33\n(±22.\n38)']
行 16: ['Weighted\nrating', '27.5\n9\n(±13.\n92)', '37.41\n(±15.3\n8)', '', '31.76\n(±14.71)', '', '51.76\n(±15.17\n)', '57.96\n(±15.3\n5)', '', '46.39\n(±16.3\n5)', '60.19\n(±16.\n50)', '', '36.11\n(±12.3\n6)', '50.28\n(±16.3\n5)', '', '39.63\n(±14.\n26)', '56.11\n(±17.\n56)', '', '38.52\n(±15.\n78)', '53.24\n(±15.\n98)']
行 17: ['SSQ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
行 18: ['ΔNausea', '-0.32\n(±1.7\n4)', '1.59\n(±5.65\n)', '', '6.04\n(±19.64)', '', '1.91\n(±8.08)', '0.32\n(±3.95\n)', '', '1.27\n(±4.14)', '0.00\n(±0.0\n0)', '', '2.23\n(±7.38\n)', '1.91\n(±4.62\n)', '', '3.18\n(±7.6\n5)', '1.59\n(±4.4\n0)', '', '0.00\n(±0.0\n0)', '0.00\n(±0.0\n0)']
行 19: ['ΔOculom\notor', '0.25\n(±4.2\n1)', '4.80\n(±7.31\n)', '', '5.56\n(±17.00)', '', '1.52\n(±8.30)', '1.26\n(±5.30\n)', '', '6.82\n(±12.0\n0)', '6.57\n(±10.\n48)', '', '1.52\n(±5.42\n)', '0.76\n(±7.00\n)', '', '1.52\n(±4.1\n8)', '2.78\n(±5.8\n0)', '', '3.28\n(±6.5\n1)', '2.27\n(±5.3\n2)']
行 20: ['ΔDisorie\nntation', '3.71\n(±9.6\n3)', '10.21\n(±15.4\n8)', '', '30.16\n(±44.33)', '', '6.50\n(±14.50\n)', '6.96\n(±10.1\n8)', '', '12.53\n(±19.8\n0)', '7.42\n(±17.\n04)', '', '10.67\n(±16.6\n3)', '4.18\n(±12.7\n4)', '', '10.21\n(±13.\n65)', '13.92\n(±20.\n68)', '', '4.64\n(±8.4\n4)', '4.18\n(±12.\n21)']
行 21: ['ΔTotal', '1.00\n(±4.3\n9)', '5.73\n(±6.86\n)', '', '13.21\n(±27.30)', '', '3.24\n(±10.29\n)', '2.62\n(±5.48\n)', '', '7.23\n(±11.07\n)', '5.24\n(±9.4\n0)', '', '4.49\n(±8.12\n)', '2.24\n(±6.99\n)', '', '4.74\n(±7.0\n1)', '5.73\n(±7.5\n3)', '', '2.87\n(±4.2\n5)', '2.24\n(±4.5\n6)']
行 22: ['ΔTotal', '2.55', '1.60', '', '1.10', '', '1.90', '1.47', '', '1.57', '1.03', '', '2.60', '2.57', '', '2.70', '2.50', '', '1.57', '1.83']
