Condition,Difficulty,VR_D(m),VR_D_std,VR_avgSpd(km/s),VR_avgSpd_std,VR_NoC,VR_NoC_std,VR_ToC(s),VR_ToC_std,VR_SAL,VR_SAL_std,VR_NoA,VR_NoA_std,VR_ToA(s),VR_ToA_std,RW_B,RW_B_std,Gaze_NoG,Gaze_NoG_std,Gaze_ToG(s),Gaze_ToG_std,ΔHR,ΔHR_std,NASA_Mental,NASA_Mental_std,NASA_Physical,NASA_Physical_std,NASA_Temporal,NASA_Temporal_std,NASA_Performance,NASA_Performance_std,NASA_Effort,NASA_Effort_std,NASA_Frustration,NASA_Frustration_std,NASA_Weighted,NASA_Weighted_std,SSQ_Nausea,SSQ_Nausea_std,SSQ_Oculomotor,SSQ_Oculomotor_std,SSQ_Disorientation,SSQ_Disorientation_std,SSQ_Total,SSQ_Total_std,SSQ_MFP,SSQ_MFP_std,Ranking,Ranking_std
BenchmarkR,Easy,,,,,,,,,,,,,,,61.15,8.95,,,,,8.3,6.82,8.33,14.35,31.11,25.42,42.22,29.27,24.44,14.34,53.89,28.93,5.56,10.11,27.59,13.92,-0.32,1.74,0.25,4.21,3.71,9.63,1.0,4.39,2.55,3.77,,
BenchmarkV,Easy,,,,,,,,,,,,,,,38.93,6.58,,,,,8.63,5.92,33.33,23.97,29.44,22.18,44.44,29.47,42.22,21.77,59.44,23.03,15.56,19.04,37.41,15.38,1.59,5.65,4.8,7.31,10.21,15.48,5.73,6.86,1.6,3.32,,
Controller_Easy,Easy,834.32,41.77,32.19,1.37,0.9,0.92,0.57,0.8,-164.9,33.3,68.2,20.5,0.59,0.12,,,,,,,0.4,4.79,31.67,21.6,26.67,24.6,24.44,24.66,32.78,24.56,51.11,23.54,23.89,22.18,31.76,14.71,6.04,19.64,5.56,17.0,30.16,44.33,13.21,27.3,1.1,2.06,,
Controller_Hard,Hard,687.01,96.51,27.41,3.15,4.27,1.84,5.26,4.78,-232.66,37.42,55.43,19.36,0.66,0.11,,,,,,,1.1,4.43,47.22,24.79,41.11,23.46,65.56,20.5,52.78,19.12,69.44,21.03,34.44,25.5,51.76,15.17,1.91,8.08,1.52,8.3,6.5,14.5,3.24,10.29,1.9,4.52,,
Gaze_Easy,Easy,643.88,106.74,25.72,3.67,4.53,1.8,8.92,7.46,-249.09,29.22,51.33,17.59,0.66,0.15,17.77,6.34,11.73,11.69,12.44,13.59,3.27,4.59,63.89,23.6,45.0,24.43,67.78,23.13,58.89,18.43,72.22,20.68,40.0,22.99,57.96,15.35,0.32,3.95,1.26,5.3,6.96,10.18,2.62,5.48,1.47,4.1,3.7,1.37
Gaze_Hard,Hard,696.91,105.81,28.1,3.11,4.43,1.94,3.91,2.22,-250.64,37.02,50.0,9.28,0.68,0.12,11.97,6.33,15.97,5.96,30.88,10.74,4.83,7.0,50.0,28.03,38.89,27.8,48.33,24.51,45.56,17.47,66.67,21.44,28.89,20.03,46.39,16.35,1.27,4.14,6.82,12.0,12.53,19.8,7.23,11.07,1.57,3.28,3.57,1.36
Head_Easy,Easy,580.31,87.6,23.97,3.1,7.27,2.35,9.58,6.14,-256.94,38.67,43.87,7.82,0.63,0.11,31.98,8.56,2.47,5.31,3.23,7.09,1.73,3.67,69.44,22.78,45.56,25.5,65.0,26.02,65.56,23.54,73.33,21.71,42.22,27.24,60.19,16.5,0.0,0.0,6.57,10.48,7.42,17.04,5.24,9.4,1.03,4.09,3.73,1.2
Head_Hard,Hard,786.58,108.37,30.72,4.21,1.93,2.29,1.57,3.43,-190.58,52.95,40.7,10.01,1.03,0.19,12.3,4.64,17.7,7.08,26.72,10.39,6.57,7.82,35.0,19.25,47.78,26.16,34.44,25.5,31.11,18.94,58.89,25.04,9.44,11.32,36.11,12.36,2.23,7.38,1.52,5.42,10.67,16.63,4.49,8.12,2.6,5.1,3.9,1.18
Body_Easy,Easy,658.01,91.13,26.65,3.49,5.63,2.62,4.9,3.34,-253.51,27.12,35.43,7.17,1.03,0.2,38.57,8.06,3.73,7.08,4.74,13.3,5.1,4.96,53.33,27.82,51.11,28.68,51.67,26.75,52.78,20.57,66.67,23.16,26.11,17.33,50.28,16.35,1.91,4.62,0.76,7.0,4.18,12.74,2.24,6.99,2.57,4.45,2.0,1.31
Body_Hard,Hard,768.63,81.43,30.24,3.09,1.83,1.95,1.53,2.42,-212.58,56.72,31.97,7.11,1.29,0.18,20.12,6.12,30.0,7.48,43.97,15.88,6.93,6.8,35.56,23.05,52.78,23.19,41.67,28.28,32.78,18.3,59.44,23.44,15.56,16.91,39.63,14.26,3.18,7.65,1.52,4.18,10.21,13.65,4.74,7.01,2.7,4.92,1.9,1.24
